title,url,published_sgt
"Bishan town centre to get new office space, polyclinic, hawker centre",https://www.straitstimes.com/singapore/housing/bishan-town-centre-to-get-new-office-space-polyclinic-hawker-centre,2025-06-25T10:31:00+08:00
"1960s NatSteel building, former Pasir Panjang English School proposed for conservation",https://www.straitstimes.com/singapore/housing/1960s-natsteel-building-former-pasir-panjang-english-school-proposed-for-conservation,2025-06-25T10:31:00+08:00
"At least 80,000 public, private homes planned in more than 10 areas over next 10 to 15 years",https://www.straitstimes.com/singapore/housing/at-least-80000-public-private-homes-planned-in-more-than-10-areas-over-next-10-15-years,2025-06-25T10:31:00+08:00
"Sengkang, Woodlands North and Yio Chu Kang to get integrated community hubs",https://www.straitstimes.com/singapore/housing/sengkang-woodlands-north-and-yio-chu-kang-to-get-integrated-community-hubs,2025-06-25T10:30:00+08:00
"New housing areas in Dover, Defu, Newton and Paterson unveiled in URA’s Draft Master Plan 2025",https://www.straitstimes.com/singapore/housing/new-housing-areas-in-dover-defu-newton-and-paterson-unveiled-in-uras-draft-master-plan-2025,2025-06-25T10:30:00+08:00
"URA launches residential sites for sale in Dorset Road, Upper Thomson Road, Telok Blangah Road",https://www.straitstimes.com/singapore/housing/ura-launches-residential-sites-for-sale-at-dorset-road-upper-thomson-road-telok-blangah-road,2025-06-24T14:58:49+08:00
Private home owners may not have to wait till 2027 for change in HDB wait-out period: Chee Hong Tat,https://www.straitstimes.com/singapore/housing/private-homeowners-may-not-have-to-wait-till-2027-for-change-in-hdb-wait-out-period-chee-hong-tat,2025-06-21T18:11:13+08:00
3 in 4 consumers want property agents to stay    updated by closing at least one deal a year: Poll,https://www.straitstimes.com/singapore/housing/3-in-4-consumers-want-property-agents-to-stay-updated-by-closing-at-least-one-deal-a-year-survey,2025-06-18T14:00:00+08:00
"Absence of new condo launches, cautious buyers send May new private home sales skidding",https://www.straitstimes.com/singapore/housing/no-new-condo-launches-cautious-buyers-send-may-new-private-home-sales-skidding,2025-06-16T17:45:00+08:00
Singapore trims private housing land supply on confirmed list amid economic headwinds,https://www.straitstimes.com/singapore/housing/singapore-trims-private-housing-land-supply-on-confirmed-list-amid-economic-headwinds,2025-06-13T13:33:56+08:00
"Dislodged tiles, sharp edges in Sengkang exec condo pools spark concern among residents",https://www.straitstimes.com/singapore/housing/dislodged-tiles-sharp-edges-in-sengkang-exec-condo-pools-spark-concern-among-residents,2025-06-11T10:55:00+08:00
"Tampines, Toa Payoh BTO flats most popular among first-time home buyers in July HDB launch",https://www.straitstimes.com/singapore/housing/tampines-toa-payoh-bto-flats-most-popular-among-first-time-home-buyers-in-july-hdb-launch,2025-07-30T18:35:00+08:00
"Holland Link site draws 5 bids; top bid from Sim Lian at $368.37m, or $1,432 psf ppr",https://www.straitstimes.com/singapore/housing/holland-link-site-draws-5-bids-top-bid-from-sim-lian-at-368-37m-or-1432-psf-ppr,2025-07-29T21:00:00+08:00
Private residential home prices up 1% in Q2: URA,https://www.straitstimes.com/singapore/housing/private-residential-home-prices-up-1-per-cent-in-q2-ura,2025-07-25T13:05:00+08:00
"HDB resale price growth moderates in Q2, more flats sold",https://www.straitstimes.com/singapore/housing/hdb-resale-price-growth-moderates-in-q2-more-flats-sold,2025-07-25T10:50:00+08:00
"First BTO flats in Greater Southern Waterfront, Mount Pleasant to go on sale in October",https://www.straitstimes.com/singapore/housing/first-bto-flats-in-greater-southern-waterfront-mount-pleasant-to-go-on-sale-in-october,2025-07-24T16:58:00+08:00
Local buyers are key to recovery of Singapore’s prime district condo market,https://www.straitstimes.com/singapore/housing/local-buyers-are-key-to-recovery-of-prime-district-condo-market,2025-07-23T14:35:00+08:00
"HDB launches 10,209 BTO and balance flats, as priority scheme for singles kicks in",https://www.straitstimes.com/singapore/housing/hdb-launches-10209-bto-and-balance-flats-as-priority-scheme-for-singles-kick-in,2025-07-23T10:43:08+08:00
"Priority for singles, higher quota for second-timer families to kick in from HDB’s July BTO exercise",https://www.straitstimes.com/singapore/housing/priority-for-singles-higher-quota-for-second-timer-families-to-kick-in-from-hdbs-july-bto-exercise,2025-07-20T18:45:00+08:00
"Over 4,600 HDB balance flats up for sale in July; 2 BTO projects with shorter wait to be launched",https://www.straitstimes.com/singapore/housing/over-4600-balance-flats-2-bto-projects-with-waits-of-under-3-years-to-be-offered-in-july-hdb-launch,2025-07-16T10:02:21+08:00
New private home sales in Singapore drop for 4th straight month in June,https://www.straitstimes.com/singapore/housing/new-private-home-sales-in-singapore-drop-for-4th-straight-month-in-june,2025-07-15T18:40:00+08:00
Real estate firm PropNex donates $6 million to Community Chest for 25th anniversary,https://www.straitstimes.com/singapore/housing/real-estate-firm-propnex-donates-6-million-to-community-chest-for-25th-anniversary,2025-07-15T16:00:00+08:00
Singapore one of the few major cities in Asia-Pacific region to offer attainable homes: Report,https://www.straitstimes.com/singapore/housing/singapore-one-of-the-few-major-cities-in-asia-pacific-region-to-offer-attainable-homes-report,2025-07-10T14:00:00+08:00
Chuan Grove GLS site snags top bid of $703.6m from Sing Holdings-Sunway joint venture,https://www.straitstimes.com/singapore/housing/landbanking-picks-up-pace-with-sing-holdings-sunway-jvs-top-bid-of-703-6-million-for-chuan-grove,2025-07-09T05:00:00+08:00
New Draft Master Plan could reignite developers’ interest to buy land,https://www.straitstimes.com/singapore/housing/new-draft-master-plan-could-reignite-developers-interest-to-buy-land,2025-07-08T17:10:00+08:00
Rents for privately held HDB shops double in past year; prices hold steady for those leased from HDB,https://www.straitstimes.com/singapore/housing/rents-for-privately-held-hdb-shops-double-in-past-year-prices-hold-steady-for-those-leased-from-hdb,2025-09-01T05:00:00+08:00
Some Tengah residents lament teething issues in town’s first GP clinic,https://www.straitstimes.com/singapore/housing/some-tengah-residents-lament-teething-issues-in-towns-first-gp-clinic,2025-08-31T11:00:00+08:00
Competitive bids for state land tenders lifting land betterment charges for non-landed residential use,https://www.straitstimes.com/singapore/housing/competitive-bids-for-state-land-tenders-lifting-land-betterment-charges-for-non-landed-residential,2025-08-29T23:44:00+08:00
"Private lift, meals, housekeeping from $8.9k a month at S’pore’s first private assisted living project",https://www.straitstimes.com/singapore/housing/singapores-first-260-million-private-assisted-living-project-to-open-by-q1-2026,2025-08-28T17:55:00+08:00
Fresh launches drive surge in new private home sales in July,https://www.straitstimes.com/singapore/housing/fresh-launches-drive-new-private-home-sales-surge-in-july,2025-08-15T15:30:00+08:00
ST Explains: What is Vers and which HDB estates could it be rolled out in?,https://www.straitstimes.com/singapore/housing/st-explains-what-is-vers-and-which-hdb-estates-could-the-scheme-be-rolled-out-in,2025-08-11T17:30:00+08:00
First Vers projects for HDB flats likely to be launched in first half of 2030s,https://www.straitstimes.com/singapore/housing/first-voluntary-redevelopment-projects-for-hdb-flats-likely-to-be-launched-in-first-half-of-2030s,2025-08-10T18:00:00+08:00
"55,000 BTO units to be launched from 2025 to 2027, will help moderate HDB resale prices: Minister",https://www.straitstimes.com/singapore/housing/55000-bto-units-to-be-launched-from-2025-to-2027-will-help-moderate-hdb-resale-prices-minister,2025-08-10T18:00:00+08:00
Criminal trial of Hyflux founder Olivia Lum and five others starts on Aug 11,https://www.straitstimes.com/singapore/housing/criminal-trial-of-hyflux-founder-olivia-lum-and-five-others-starts-aug-11,2025-08-10T11:00:00+08:00
CDL sets new benchmark for EC land with $782 psf ppr bid for Woodlands plot,https://www.straitstimes.com/singapore/housing/cdl-sets-new-benchmark-for-ec-land-with-s782-psf-ppr-bid-for-woodlands-plot,2025-08-05T20:45:00+08:00
"⁠60 winners picked from 12,600 photo competition entries showcasing HDB heartland",https://www.straitstimes.com/singapore/housing/60-winners-picked-from-among-12600-photo-competition-entries-showcasing-hdb-heartlands,2025-09-29T21:15:00+08:00
"Pasir Ris to get more homes next to MRT station, potential new neighbourhood",https://www.straitstimes.com/singapore/housing/pasir-ris-to-get-more-homes-next-to-mrt-station-potential-new-neighbourhood,2025-09-29T05:00:00+08:00
More BTO flats to be built in new Berlayar estate on former Keppel Club site,https://www.straitstimes.com/singapore/housing/more-bto-flats-to-be-built-in-new-berlayar-estate-on-former-keppel-club-site,2025-09-23T19:26:27+08:00
"New private home sales lifted by flurry of launches before Hungry Ghost month, low interest rates",https://www.straitstimes.com/singapore/housing/new-private-home-sales-lifted-by-flurry-of-launches-before-hungry-ghost-month-low-interest-rates,2025-09-15T22:58:00+08:00
"If Singapore’s first private luxury senior housing takes off, will more developers enter this space?",https://www.straitstimes.com/singapore/housing/if-singapores-first-private-luxury-senior-housing-takes-off-will-more-developers-get-in-this-space,2025-09-15T12:30:00+08:00
Former ITE HQ and ITE Dover campus to be demolished by HDB for new homes,https://www.straitstimes.com/singapore/housing/former-ite-hq-and-ite-dover-campus-to-be-demolished-by-hdb-for-new-homes,2025-09-15T05:00:00+08:00
"Consortium comprising Evia, Gamuda and Ho Lee places top bid of $1.01 billion for Yishun site",https://www.straitstimes.com/singapore/housing/evia-gamuda-ho-lee-consortium-places-top-bid-of-s1-01-billion-or-s980-psf-ppr-for-yishun-site,2025-09-11T19:55:00+08:00
Pickleball noise causes tension in some estates as the sport gains popularity,https://www.straitstimes.com/singapore/housing/pickleball-noise-causes-tension-in-some-neighbourhoods-as-the-sport-gains-popularity,2025-09-11T17:20:00+08:00
10 ex-staff of interior design firm make reports over unpaid commissions; director disputes amounts,https://www.straitstimes.com/singapore/housing/10-ex-staff-of-interior-design-firm-make-reports-over-unpaid-commissions-director-disputes-amounts,2025-09-10T20:00:00+08:00
